date;home_team;away_team;home_team_continent;away_team_continent;home_team_fifa_rank;away_team_fifa_rank;home_team_total_fifa_points;away_team_total_fifa_points;home_team_score;away_team_score;tournament;city;country;neutral_location;shoot_out;home_team_result;home_team_goalkeeper_score;away_team_goalkeeper_score;home_team_mean_defense_score;home_team_mean_offense_score;home_team_mean_midfield_score;away_team_mean_defense_score;away_team_mean_offense_score;away_team_mean_midfield_score
20/11/2022;Qatar;Ecuador;;;50;44;;;;;FIFA World Cup;;;False;;;;71.0;;;;73.5;76.0;74.5
21/11/2022;Senegal;Netherlands;;;18;8;;;;;FIFA World Cup;;;True;;;83.0;83.0;79.0;78.7;79.0;85.0;88.0;84.0
21/11/2022;England;Iran;;;5;20;;;;;FIFA World Cup;;;True;;;83.0;73.0;85.0;88.0;84.0;69.0;75.3;69.0
21/11/2022;United States;Wales;;;16;19;;;;;FIFA World Cup;;;True;;;77.0;74.0;75.8;77.7;75.8;75.0;73.0;78.5
22/11/2022;France;Australia;;;4;38;;;;;FIFA World Cup;;;True;;;87.0;77.0;83.2;85.3;84.8;72.0;72.3;73.5
22/11/2022;Denmark;Tunisia;;;10;30;;;;;FIFA World Cup;;;True;;;85.0;;80.2;77.7;80.2;70.8;72.3;74.0
22/11/2022;Mexico;Poland;;;13;26;;;;;FIFA World Cup;;;True;;;80.0;87.0;76.8;82.7;78.2;75.2;84.7;75.8
22/11/2022;Argentina;Saudi Arabia;;;3;51;;;;;FIFA World Cup;;;True;;;84.0;70.0;82.2;89.0;84.0;72.8;67.7;72.8
23/11/2022;Belgium;Canada;;;2;41;;;;;FIFA World Cup;;;True;;;89.0;76.0;80.8;85.7;85.5;69.2;73.0;78.0
23/11/2022;Spain;Costa Rica;;;7;31;;;;;FIFA World Cup;;;True;;;84.0;88.0;86.5;85.0;86.0;71.5;70.3;69.2
23/11/2022;Germany;Japan;;;11;24;;;;;FIFA World Cup;;;True;;;90.0;73.0;84.0;82.7;87.8;75.2;75.0;77.5
23/11/2022;Morocco;Croatia;;;22;12;;;;;FIFA World Cup;;;True;;;82.0;82.0;81.2;81.7;76.2;77.8;76.7;84.2
24/11/2022;Switzerland;Cameroon;;;15;43;;;;;FIFA World Cup;;;True;;;85.0;67.0;78.5;76.7;79.5;76.8;77.7;75.0
24/11/2022;Uruguay;South Korea;;;14;28;;;;;FIFA World Cup;;;True;;;80.0;75.0;81.2;84.3;80.0;73.0;80.0;73.8
24/11/2022;Portugal;Ghana;;;9;61;;;;;FIFA World Cup;;;True;;;82.0;74.0;85.2;86.0;84.5;75.5;76.0;78.2
24/11/2022;Brazil;Serbia;;;1;21;;;;;FIFA World Cup;;;True;;;89.0;80.0;84.8;86.3;85.5;75.8;80.3;81.8
25/11/2022;Wales;Iran;;;19;20;;;;;FIFA World Cup;;;True;;;74.0;73.0;75.0;73.0;78.5;69.0;75.3;69.0
25/11/2022;Qatar;Senegal;;;50;18;;;;;FIFA World Cup;;;False;;;;83.0;;;;79.0;78.7;79.0
25/11/2022;Netherlands;Ecuador;;;8;44;;;;;FIFA World Cup;;;True;;;81.0;71.1;85.2;83.0;83.5;73.5;76.0;74.5
25/11/2022;England;United States;;;5;16;;;;;FIFA World Cup;;;True;;;83.0;77.0;85.0;88.0;84.0;75.8;77.7;75.8
26/11/2022;Tunisia;Australia;;;30;38;;;;;FIFA World Cup;;;True;;;;77.0;70.8;72.3;74.0;72.0;72.3;73.5
26/11/2022;Poland;Saudi Arabia;;;26;51;;;;;FIFA World Cup;;;True;;;87.0;70.0;75.2;84.7;75.8;72.8;67.7;72.8
26/11/2022;France;Denmark;;;4;10;;;;;FIFA World Cup;;;True;;;87.0;85.0;83.2;85.3;84.8;80.2;77.7;80.2
26/11/2022;Argentina;Mexico;;;3;13;;;;;FIFA World Cup;;;True;;;84.0;80.0;82.2;89.0;84.0;76.8;82.7;78.2
27/11/2022;Japan;Costa Rica;;;24;31;;;;;FIFA World Cup;;;True;;;73.0;88.0;75.2;75.0;77.5;71.5;70.3;69.2
27/11/2022;Belgium;Morocco;;;2;22;;;;;FIFA World Cup;;;True;;;89.0;82.0;80.8;85.7;85.5;81.2;81.7;76.2
27/11/2022;Croatia;Canada;;;12;41;;;;;FIFA World Cup;;;True;;;82.0;76.0;77.8;76.7;84.2;69.2;73.0;78.0
27/11/2022;Spain;Germany;;;7;11;;;;;FIFA World Cup;;;True;;;84.0;90.0;86.5;85.0;86.0;84.0;82.7;87.8
28/11/2022;Cameroon;Serbia;;;43;21;;;;;FIFA World Cup;;;True;;;67.0;80.0;76.8;77.7;75.0;75.8;80.3;81.8
28/11/2022;South Korea;Ghana;;;28;60;;;;;FIFA World Cup;;;True;;;75.0;74.0;73.0;80.0;73.8;75.5;76.0;78.2
28/11/2022;Brazil;Switzerland;;;1;15;;;;;FIFA World Cup;;;True;;;89.0;85.0;84.8;86.3;85.5;78.5;76.7;79.5
28/11/2022;Portugal;Uruguay;;;9;14;;;;;FIFA World Cup;;;True;;;82.0;80.0;85.2;86.0;84.5;81.2;84.3;80.0
29/11/2022;Wales;England;;;19;5;;;;;FIFA World Cup;;;True;;;74.0;83.0;75.0;73.0;78.5;85.0;88.0;84.0
29/11/2022;Iran;United States;;;20;16;;;;;FIFA World Cup;;;True;;;73.0;77.0;69.0;75.3;69.0;75.8;77.7;75.8
29/11/2022;Ecuador;Senegal;;;44;18;;;;;FIFA World Cup;;;True;;;71.0;83.0;73.5;76.0;74.5;79.0;78.7;79.0
29/11/2022;Netherlands;Qatar;;;8;50;;;;;FIFA World Cup;;;False;;;81.0;;85.2;83.0;83.5;;;
30/11/2022;Australia;Denmark;;;38;10;;;;;FIFA World Cup;;;True;;;77.0;85.0;72.0;72.3;73.5;80.2;77.7;80.2
30/11/2022;Tunisia;France;;;30;4;;;;;FIFA World Cup;;;True;;;;87.0;70.8;72.3;74.0;83.2;85.3;84.8
30/11/2022;Poland;Argentina;;;26;3;;;;;FIFA World Cup;;;True;;;87.0;84.0;75.2;84.7;75.8;82.2;89.0;84.0
30/11/2022;Saudi Arabia;Mexico;;;51;13;;;;;FIFA World Cup;;;True;;;70.0;80.0;72.8;67.7;72.8;76.8;82.7;78.2
01/12/2022;Croatia;Belgium;;;12;2;;;;;FIFA World Cup;;;True;;;82.0;89.0;77.8;76.7;84.2;80.8;85.7;85.5
01/12/2022;Canada;Morocco;;;41;22;;;;;FIFA World Cup;;;True;;;76.0;82.0;69.2;73.0;78.0;81.2;81.7;76.2
01/12/2022;Japan;Spain;;;24;7;;;;;FIFA World Cup;;;True;;;73.0;84.0;75.2;75.0;77.5;86.5;85.0;86.0
01/12/2022;Costa Rica;Germany;;;31;11;;;;;FIFA World Cup;;;True;;;88.0;90.0;71.5;70.3;69.2;84.0;82.7;87.8
02/12/2022;Ghana;Uruguay;;;60;14;;;;;FIFA World Cup;;;True;;;74.0;80.0;75.5;76.0;78.2;81.2;84.3;80.0
02/12/2022;South Korea;Portugal;;;28;9;;;;;FIFA World Cup;;;True;;;75.0;82.0;73.0;80.0;73.8;85.2;86.0;84.5
02/12/2022;Serbia;Switzerland;;;21;15;;;;;FIFA World Cup;;;True;;;80.0;85.0;75.8;80.3;81.8;78.5;76.7;79.5
02/12/2022;Cameroon;Brazil;;;43;1;;;;;FIFA World Cup;;;True;;;67.0;89.0;76.8;77.7;75.0;84.8;86.3;85.5
